Strain	Date
hCoV-19/Turkey/HSGM-B634/2021|EPI_ISL_1760120|2021-03-26	2021-03-26
hCoV-19/Turkey/HSGM-B4126/2021|EPI_ISL_1760146|2021-03-31	2021-03-31
hCoV-19/France/ARA-HCL021070608101/2021|EPI_ISL_1788551|2021-04-12	2021-04-12
hCoV-19/France/ARA-HCL021070611001/2021|EPI_ISL_1788552|2021-04-12	2021-04-12
hCoV-19/Sweden/3637970116/2021|EPI_ISL_1808671|2021-03-29	2021-03-29
hCoV-19/USA/WA-CDC-LC0045696/2021|EPI_ISL_1818074|2021-04-16	2021-04-16
hCoV-19/USA/KY-CDC-LC0046239/2021|EPI_ISL_1818075|2021-04-09	2021-04-09
hCoV-19/USA/MA-CDC-LC0047615/2021|EPI_ISL_1818077|2021-04-16	2021-04-16
hCoV-19/USA/IN-CDC-LC0048433/2021|EPI_ISL_1818078|2021-04-15	2021-04-15
hCoV-19/Norway/08611/2021|EPI_ISL_1820304|2021-03-22	2021-03-22
hCoV-19/Norway/09193/2021|EPI_ISL_1820305|2021-03-26	2021-03-26
hCoV-19/Norway/7922/2021|EPI_ISL_1820306|2021-03-24	2021-03-24
hCoV-19/Norway/08366/2021|EPI_ISL_1820307|2021-03-27	2021-03-27
hCoV-19/Norway/08479/2021|EPI_ISL_1820308|2021-03-25	2021-03-25
hCoV-19/Norway/08480/2021|EPI_ISL_1820309|2021-03-25	2021-03-25
hCoV-19/Norway/08720/2021|EPI_ISL_1820310|2021-03-27	2021-03-27
hCoV-19/Norway/08752/2021|EPI_ISL_1820311|2021-04-01	2021-04-01
hCoV-19/Norway/08764/2021|EPI_ISL_1820312|2021-04-01	2021-04-01
hCoV-19/Norway/08765/2021|EPI_ISL_1820313|2021-04-01	2021-04-01
hCoV-19/Norway/09239/2021|EPI_ISL_1820314|2021-04-07	2021-04-07
hCoV-19/Norway/09296/2021|EPI_ISL_1820315|2021-04-06	2021-04-06
hCoV-19/Norway/4470/2021|EPI_ISL_1820780|2021-02-18	2021-02-18
hCoV-19/Norway/6921/2021|EPI_ISL_1820781|2021-03-16	2021-03-16
hCoV-19/Norway/7297/2021|EPI_ISL_1820782|2021-03-17	2021-03-17
hCoV-19/Norway/7334/2021|EPI_ISL_1820783|2021-03-19	2021-03-19
hCoV-19/Norway/7539/2021|EPI_ISL_1820784|2021-03-22	2021-03-22
hCoV-19/Norway/7615/2021|EPI_ISL_1820785|2021-03-22	2021-03-22
hCoV-19/Norway/7618/2021|EPI_ISL_1820786|2021-03-21	2021-03-21
hCoV-19/Norway/7620/2021|EPI_ISL_1820787|2021-03-21	2021-03-21
hCoV-19/Norway/7626/2021|EPI_ISL_1820788|2021-03-21	2021-03-21
hCoV-19/Norway/7734/2021|EPI_ISL_1820789|2021-03-22	2021-03-22
hCoV-19/Norway/7826/2021|EPI_ISL_1820790|2021-03-24	2021-03-24
hCoV-19/Germany/NW-RKI-I-104224/2021|EPI_ISL_1848754|2021-04-22	2021-04-22
hCoV-19/Denmark/DCGC-50982/2021|EPI_ISL_1858525|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-51206/2021|EPI_ISL_1858980|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-51824/2021|EPI_ISL_1859856|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-54637/2021|EPI_ISL_1863065|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-57618/2021|EPI_ISL_1866118|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-57686/2021|EPI_ISL_1866186|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-58083/2021|EPI_ISL_1866586|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-58546/2021|EPI_ISL_1867049|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-59312/2021|EPI_ISL_1867883|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-61080/2021|EPI_ISL_1869651|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-62030/2021|EPI_ISL_1870601|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-64261/2021|EPI_ISL_1872832|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-64301/2021|EPI_ISL_1872872|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-64719/2021|EPI_ISL_1873290|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-65137/2021|EPI_ISL_1873708|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-65614/2021|EPI_ISL_1874185|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-66479/2021|EPI_ISL_1875050|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-67815/2021|EPI_ISL_1876386|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-68680/2021|EPI_ISL_1877251|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-68708/2021|EPI_ISL_1877279|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-68725/2021|EPI_ISL_1877296|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-69127/2021|EPI_ISL_1877698|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-69128/2021|EPI_ISL_1877699|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-69546/2021|EPI_ISL_1878117|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-69571/2021|EPI_ISL_1878142|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-69936/2021|EPI_ISL_1878507|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-69968/2021|EPI_ISL_1878539|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-70911/2021|EPI_ISL_1879482|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-70918/2021|EPI_ISL_1879489|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-71295/2021|EPI_ISL_1879866|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-71890/2021|EPI_ISL_1880461|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-71915/2021|EPI_ISL_1880486|2021-04-12	2021-04-12
hCoV-19/Denmark/DCGC-72248/2021|EPI_ISL_1880819|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-72278/2021|EPI_ISL_1880849|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-73184/2021|EPI_ISL_1881755|2021-01-18	2021-01-18
hCoV-19/Denmark/DCGC-74084/2021|EPI_ISL_1882655|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-74098/2021|EPI_ISL_1882669|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-75375/2021|EPI_ISL_1883946|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-75843/2021|EPI_ISL_1884414|2021-03-01	2021-03-01
hCoV-19/Germany/BE-ChVir-LB-210423-8344/2021|EPI_ISL_1886140|2021-04-12	2021-04-12
hCoV-19/Germany/BE-ChVir-LB-210423-4416/2021|EPI_ISL_1886168|2021-04-15	2021-04-15
hCoV-19/Germany/BW-ChVir-LB-210423-5722/2021|EPI_ISL_1886196|2021-04-09	2021-04-09
hCoV-19/Denmark/DCGC-78817/2021|EPI_ISL_1887458|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-79673/2021|EPI_ISL_1888314|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-79722/2021|EPI_ISL_1888363|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-80623/2021|EPI_ISL_1889264|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-81037/2021|EPI_ISL_1889679|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-81055/2021|EPI_ISL_1889697|2021-03-15	2021-03-15
