Strain	Date
hCoV-19/Belgium/AZDelta/19365-2113R/2021|EPI_ISL_1534731|2021-04-02	2021-04-02
hCoV-19/Norway/7115/2021|EPI_ISL_1547665|2021-03-18	2021-03-18
hCoV-19/Norway/7116/2021|EPI_ISL_1547666|2021-03-19	2021-03-19
hCoV-19/Germany/RP-RKI-I-062207/2021|EPI_ISL_1567629|2021-03-22	2021-03-22
hCoV-19/Germany/un-RKI-I-062209/2021|EPI_ISL_1567631|2021-03-23	2021-03-23
hCoV-19/Germany/BE-RKI-I-062221/2021|EPI_ISL_1567642|2021-03-24	2021-03-24
hCoV-19/Germany/RP-RKI-I-062239/2021|EPI_ISL_1567658|2021-03-18	2021-03-18
hCoV-19/Germany/RP-RKI-I-062242/2021|EPI_ISL_1567660|2021-03-18	2021-03-18
hCoV-19/Germany/RP-RKI-I-062243/2021|EPI_ISL_1567661|2021-03-17	2021-03-17
hCoV-19/Germany/RP-RKI-I-062245/2021|EPI_ISL_1567663|2021-03-18	2021-03-18
hCoV-19/Germany/RP-RKI-I-062260/2021|EPI_ISL_1567676|2021-03-24	2021-03-24
hCoV-19/Germany/BE-RKI-I-062262/2021|EPI_ISL_1567678|2021-03-24	2021-03-24
hCoV-19/Germany/RP-RKI-I-065753/2021|EPI_ISL_1570824|2021-03-17	2021-03-17
hCoV-19/Germany/RP-RKI-I-065757/2021|EPI_ISL_1570826|2021-03-16	2021-03-16
hCoV-19/Germany/RP-RKI-I-065763/2021|EPI_ISL_1570832|2021-03-23	2021-03-23
hCoV-19/Germany/RP-RKI-I-065766/2021|EPI_ISL_1570835|2021-03-18	2021-03-18
hCoV-19/Germany/RP-RKI-I-065769/2021|EPI_ISL_1570838|2021-03-20	2021-03-20
hCoV-19/Germany/un-RKI-I-065770/2021|EPI_ISL_1570839|2021-03-26	2021-03-26
hCoV-19/Germany/un-RKI-I-065775/2021|EPI_ISL_1570842|2021-03-26	2021-03-26
hCoV-19/Germany/un-RKI-I-065780/2021|EPI_ISL_1570846|2021-03-28	2021-03-28
hCoV-19/USA/NY-PRL-2021_0414_00G20/2021|EPI_ISL_1633953|2021-04-12	2021-04-12
hCoV-19/Germany/un-RKI-I-071302/2021|EPI_ISL_1638309|2021-03-29	2021-03-29
hCoV-19/Germany/BE-RKI-I-071310/2021|EPI_ISL_1638315|2021-04-01	2021-04-01
hCoV-19/Germany/BE-RKI-I-071323/2021|EPI_ISL_1638326|2021-03-31	2021-03-31
hCoV-19/Germany/BE-RKI-I-071345/2021|EPI_ISL_1638343|2021-04-06	2021-04-06
hCoV-19/Germany/un-RKI-I-071365/2021|EPI_ISL_1638359|2021-03-31	2021-03-31
hCoV-19/Germany/BY-RKI-I-074298/2021|EPI_ISL_1640628|2021-03-07	2021-03-07
hCoV-19/Germany/NW-RKI-I-074357/2021|EPI_ISL_1640675|2021-03-19	2021-03-19
hCoV-19/Germany/un-RKI-I-078530/2021|EPI_ISL_1643785|2021-04-02	2021-04-02
hCoV-19/Germany/un-RKI-I-078532/2021|EPI_ISL_1643786|2021-03-31	2021-03-31
hCoV-19/France/HDF-20210322v1b3/2021|EPI_ISL_1655742|2021-03-25	2021-03-25
hCoV-19/Singapore/630/2021|EPI_ISL_1719870|2021-04-18	2021-04-18
hCoV-19/Germany/NW-RKI-I-091967/2021|EPI_ISL_1726900|2021-04-14	2021-04-14
hCoV-19/Germany/NW-RKI-I-092522/2021|EPI_ISL_1727028|2021-04-12	2021-04-12
hCoV-19/Germany/NW-RKI-I-092545/2021|EPI_ISL_1727049|2021-04-12	2021-04-12
hCoV-19/Italy/TAA-IGA-1900561478/2021|EPI_ISL_1745239|2021-04-12	2021-04-12
hCoV-19/USA/WA-PHL-000468/2021|EPI_ISL_1747406|2021-04-12	2021-04-12
hCoV-19/USA/WA-PHL-000469/2021|EPI_ISL_1747407|2021-04-12	2021-04-12
hCoV-19/France/IDF-HMN-21032260543/2021|EPI_ISL_1755014|2021-03-24	2021-03-24
hCoV-19/France/IDF-HMN-21032260140/2021|EPI_ISL_1755030|2021-03-26	2021-03-26
hCoV-19/Ireland/D-NVRL-22IRL18501/2021|EPI_ISL_1785311|2021-04-12	2021-04-12
hCoV-19/France/NAQ-HCL021070144401/2021|EPI_ISL_1788425|2021-04-02	2021-04-02
hCoV-19/France/NAQ-HCL021070164601/2021|EPI_ISL_1788430|2021-03-24	2021-03-24
hCoV-19/France/NAQ-HCL021070199201/2021|EPI_ISL_1788434|2021-03-24	2021-03-24
hCoV-19/USA/WA-UW-2021040702466/2021|EPI_ISL_1789246|2021-04-07	2021-04-07
hCoV-19/Netherlands/NH-RIVM-27927/2021|EPI_ISL_1792899|2021-04-19	2021-04-19
hCoV-19/Norway/6471/2021|EPI_ISL_1797748|2021-03-13	2021-03-13
hCoV-19/Norway/7327/2021|EPI_ISL_1797778|2021-03-19	2021-03-19
hCoV-19/Turkey/HSGM-B3017/2021|EPI_ISL_1822672|2021-03-31	2021-03-31
hCoV-19/USA/CA-UCSF-CC107/2021|EPI_ISL_1824402|2021-03-18	2021-03-18
hCoV-19/Costa Rica/INC-0493/2021|EPI_ISL_1827522|2021-03-15	2021-03-15
hCoV-19/Germany/BE-RKI-I-104275/2021|EPI_ISL_1848801|2021-04-20	2021-04-20
hCoV-19/Germany/BE-RKI-I-104277/2021|EPI_ISL_1848803|2021-04-23	2021-04-23
hCoV-19/Denmark/DCGC-51616/2021|EPI_ISL_1859506|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-51650/2021|EPI_ISL_1859578|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-52905/2021|EPI_ISL_1860959|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-53364/2021|EPI_ISL_1861418|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-53400/2021|EPI_ISL_1861454|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-54302/2021|EPI_ISL_1862730|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-55629/2021|EPI_ISL_1864057|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-57789/2021|EPI_ISL_1866289|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-58684/2021|EPI_ISL_1867187|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-59015/2021|EPI_ISL_1867586|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-59449/2021|EPI_ISL_1868020|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-59882/2021|EPI_ISL_1868453|2021-04-19	2021-04-19
hCoV-19/Denmark/DCGC-59884/2021|EPI_ISL_1868455|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-61186/2021|EPI_ISL_1869757|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-62138/2021|EPI_ISL_1870709|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-63945/2021|EPI_ISL_1872516|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-66158/2021|EPI_ISL_1874729|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-71588/2021|EPI_ISL_1880159|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-71938/2021|EPI_ISL_1880509|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-72902/2021|EPI_ISL_1881473|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-72920/2021|EPI_ISL_1881491|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-73270/2021|EPI_ISL_1881841|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-73761/2021|EPI_ISL_1882332|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-74198/2021|EPI_ISL_1882769|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-74221/2021|EPI_ISL_1882792|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-75952/2021|EPI_ISL_1884523|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-77267/2021|EPI_ISL_1885838|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-79402/2021|EPI_ISL_1888043|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-79430/2021|EPI_ISL_1888071|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-80290/2021|EPI_ISL_1888931|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-80292/2021|EPI_ISL_1888933|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-80293/2021|EPI_ISL_1888934|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-80721/2021|EPI_ISL_1889362|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-81703/2021|EPI_ISL_1890345|2021-03-22	2021-03-22
hCoV-19/Ireland/D-NVRL-22IRL33846/2021|EPI_ISL_1891211|2021-04-20	2021-04-20
hCoV-19/Ireland/D-NVRL-22IRL33788/2021|EPI_ISL_1891230|2021-04-20	2021-04-20
hCoV-19/Ireland/D-NVRL-22IRL33845/2021|EPI_ISL_1891238|2021-04-20	2021-04-20
hCoV-19/Ireland/D-NVRL-22IRL33238/2021|EPI_ISL_1891257|2021-04-20	2021-04-20
hCoV-19/Ireland/D-NVRL-22IRL33787/2021|EPI_ISL_1891271|2021-04-20	2021-04-20
hCoV-19/Ireland/D-NVRL-22IRL33239/2021|EPI_ISL_1891284|2021-04-20	2021-04-20
hCoV-19/Denmark/DCGC-83171/2021|EPI_ISL_1892157|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-83850/2021|EPI_ISL_1892978|2021-04-19	2021-04-19
hCoV-19/Denmark/DCGC-84270/2021|EPI_ISL_1893479|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-84591/2021|EPI_ISL_1893896|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-85446/2021|EPI_ISL_1894764|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-86309/2021|EPI_ISL_1895630|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-87174/2021|EPI_ISL_1896533|2021-03-29	2021-03-29
hCoV-19/Japan/IC-0876/2021|EPI_ISL_1927297|2021-03-15	2021-03-15
hCoV-19/Japan/IC-0882/2021|EPI_ISL_1927299|2021-03-20	2021-03-20
hCoV-19/Italy/TAA-IGA-1900555051/2021|EPI_ISL_1941566|2021-04-03	2021-04-03
hCoV-19/Germany/BE-ChVir-LB-210326-8319/2021|EPI_ISL_1982595|2021-03-17	2021-03-17
hCoV-19/Spain/CT-HUGTiPR015HY5G10/2021|EPI_ISL_1999837|2021-04-26	2021-04-26
hCoV-19/Spain/CT-HUGTiPR015HY5H10/2021|EPI_ISL_1999851|2021-04-26	2021-04-26
hCoV-19/Australia/QLD1877/2021|EPI_ISL_2001059|2021-05-07	2021-05-07
hCoV-19/Ghana/NMIMR-NTRA-21-8945/2021|EPI_ISL_2001069|2021-03-16	2021-03-16
hCoV-19/Ghana/NMIMR-TRA-21-13715/2021|EPI_ISL_2001071|2021-03-16	2021-03-16
hCoV-19/Ghana/NMIMR-TRA-21-13716/2021|EPI_ISL_2001072|2021-03-16	2021-03-16
hCoV-19/Ghana/NMIMR-NTRA-21-37127/2021|EPI_ISL_2001073|2021-03-16	2021-03-16
hCoV-19/Ghana/NMIMR-TRA-21-13568/2021|EPI_ISL_2001077|2021-03-15	2021-03-15
hCoV-19/Ghana/NMIMR-TRA-21-6410/2021|EPI_ISL_2001078|2021-03-15	2021-03-15
hCoV-19/USA/WA-UW-21042015771/2021|EPI_ISL_2002383|2021-04-20	2021-04-20
hCoV-19/USA/WA-UW-21042062549/2021|EPI_ISL_2002386|2021-04-20	2021-04-20
hCoV-19/USA/WA-UW-21042020852/2021|EPI_ISL_2002885|2021-04-20	2021-04-20
hCoV-19/USA/WA-UW-21042082332/2021|EPI_ISL_2002887|2021-04-20	2021-04-20
hCoV-19/USA/WA-UW-21042093194/2021|EPI_ISL_2002892|2021-04-20	2021-04-20
hCoV-19/USA/MN-MDH-6453/2021|EPI_ISL_2015212|2021-04-02	2021-04-02
hCoV-19/France/ARA-HCL990000254969/2021|EPI_ISL_2016154|2021-04-22	2021-04-22
hCoV-19/England/ALDP-155657D/2021|EPI_ISL_2021918|2021-05-02	2021-05-02
hCoV-19/Denmark/DCGC-87525/2021|EPI_ISL_2023710|2021-04-19	2021-04-19
hCoV-19/Denmark/DCGC-87985/2021|EPI_ISL_2024170|2021-04-26	2021-04-26
hCoV-19/Switzerland/GE-HUG-34069427/2021|EPI_ISL_2104664|2021-04-30	2021-04-30
hCoV-19/USA/WA-CDC-UW21042125998/2021|EPI_ISL_2105968|2021-04-21	2021-04-21
hCoV-19/Turkey/HSGM-11400/2021|EPI_ISL_2107306|2021-03-12	2021-03-12
hCoV-19/Turkey/HSGM-11402/2021|EPI_ISL_2107308|2021-03-12	2021-03-12
hCoV-19/Turkey/HSGM-11398/2021|EPI_ISL_2107334|2021-03-12	2021-03-12
hCoV-19/Germany/BE-RKI-I-136966/2021|EPI_ISL_2120312|2021-05-03	2021-05-03
hCoV-19/Germany/BE-RKI-I-136968/2021|EPI_ISL_2120318|2021-05-03	2021-05-03
hCoV-19/Germany/BE-RKI-I-136971/2021|EPI_ISL_2120327|2021-05-03	2021-05-03
hCoV-19/Germany/BE-RKI-I-136974/2021|EPI_ISL_2120333|2021-05-03	2021-05-03
hCoV-19/Germany/BE-RKI-I-136975/2021|EPI_ISL_2120335|2021-05-03	2021-05-03
hCoV-19/Germany/BE-RKI-I-136977/2021|EPI_ISL_2120341|2021-05-03	2021-05-03
hCoV-19/Italy/UMB-IZSGC-259791.1.7/2021|EPI_ISL_2131459|2021-04-28	2021-04-28
hCoV-19/Italy/UMB-IZSGC-259791.1.8/2021|EPI_ISL_2131460|2021-04-30	2021-04-30
hCoV-19/Italy/UMB-IZSGC-259791.1.10/2021|EPI_ISL_2131462|2021-05-04	2021-05-04
hCoV-19/Italy/UMB-IZSGC-259791.1.34/2021|EPI_ISL_2131484|2021-05-04	2021-05-04
hCoV-19/Norway/09738/2021|EPI_ISL_2138808|2021-04-08	2021-04-08
hCoV-19/Gabon/CERMEL-AA0499/2021|EPI_ISL_2156768|2021-03-30	2021-03-30
hCoV-19/Canada/AB-ABPHL-05800/2021|EPI_ISL_2165160|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05802/2021|EPI_ISL_2165162|2021-02-21	2021-02-21
hCoV-19/Canada/AB-ABPHL-05803/2021|EPI_ISL_2165163|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05804/2021|EPI_ISL_2165164|2021-02-20	2021-02-20
hCoV-19/Canada/AB-ABPHL-05813/2021|EPI_ISL_2165172|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05814/2021|EPI_ISL_2165173|2021-02-21	2021-02-21
hCoV-19/Canada/AB-ABPHL-05819/2021|EPI_ISL_2165176|2021-02-23	2021-02-23
hCoV-19/Canada/AB-ABPHL-05820/2021|EPI_ISL_2165177|2021-02-23	2021-02-23
hCoV-19/Canada/AB-ABPHL-05825/2021|EPI_ISL_2165181|2021-02-21	2021-02-21
hCoV-19/Canada/AB-ABPHL-05836/2021|EPI_ISL_2165189|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05844/2021|EPI_ISL_2165196|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05846/2021|EPI_ISL_2165197|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05848/2021|EPI_ISL_2165199|2021-02-21	2021-02-21
hCoV-19/Canada/AB-ABPHL-05852/2021|EPI_ISL_2165203|2021-02-22	2021-02-22
hCoV-19/Canada/AB-ABPHL-05858/2021|EPI_ISL_2165209|2021-02-23	2021-02-23
hCoV-19/Canada/AB-ABPHL-05865/2021|EPI_ISL_2165216|2021-02-22	2021-02-22
hCoV-19/Canada/ABPHL-10878/2021|EPI_ISL_2168670|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10879/2021|EPI_ISL_2168671|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10880/2021|EPI_ISL_2168672|2021-03-25	2021-03-25
hCoV-19/Canada/ABPHL-10882/2021|EPI_ISL_2168674|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10883/2021|EPI_ISL_2168675|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10885/2021|EPI_ISL_2168677|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10887/2021|EPI_ISL_2168679|2021-03-23	2021-03-23
hCoV-19/Canada/ABPHL-10888/2021|EPI_ISL_2168680|2021-03-24	2021-03-24
hCoV-19/Canada/ABPHL-10931/2021|EPI_ISL_2168693|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10932/2021|EPI_ISL_2168694|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10934/2021|EPI_ISL_2168696|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10935/2021|EPI_ISL_2168697|2021-03-30	2021-03-30
hCoV-19/Canada/ABPHL-10937/2021|EPI_ISL_2168699|2021-03-30	2021-03-30
hCoV-19/Canada/ABPHL-10946/2021|EPI_ISL_2168708|2021-03-30	2021-03-30
hCoV-19/Canada/ABPHL-10947/2021|EPI_ISL_2168709|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10949/2021|EPI_ISL_2168711|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10950/2021|EPI_ISL_2168712|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10952/2021|EPI_ISL_2168714|2021-03-30	2021-03-30
hCoV-19/Canada/ABPHL-10956/2021|EPI_ISL_2168718|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10961/2021|EPI_ISL_2168723|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10962/2021|EPI_ISL_2168724|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10963/2021|EPI_ISL_2168725|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10966/2021|EPI_ISL_2168728|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-11907/2021|EPI_ISL_2169527|2021-04-04	2021-04-04
hCoV-19/Canada/ABPHL-11920/2021|EPI_ISL_2169540|2021-04-04	2021-04-04
hCoV-19/England/ALDP-157E59D/2021|EPI_ISL_2171878|2021-05-12	2021-05-12
hCoV-19/France/BRE-IPP11304/2021|EPI_ISL_2178480|2021-04-27	2021-04-27
hCoV-19/France/IDF-HMN-21032230304/2021|EPI_ISL_2179428|2021-03-15	2021-03-15
hCoV-19/USA/WV-WVU-WV118794/2021|EPI_ISL_2195800|2021-04-17	2021-04-17
hCoV-19/USA/WV-WVU-WV118795/2021|EPI_ISL_2195801|2021-04-17	2021-04-17
hCoV-19/USA/WV-WVU-WV118797/2021|EPI_ISL_2195803|2021-04-17	2021-04-17
hCoV-19/USA/WV-WVU-WV118798/2021|EPI_ISL_2195804|2021-04-18	2021-04-18
hCoV-19/USA/WV-WVU-WV118889/2021|EPI_ISL_2195868|2021-04-20	2021-04-20
hCoV-19/USA/WV-WVU-WV118895/2021|EPI_ISL_2195873|2021-04-20	2021-04-20
hCoV-19/USA/WV-WVU-WV118901/2021|EPI_ISL_2195877|2021-04-21	2021-04-21
hCoV-19/USA/WV-WVU-WV119556/2021|EPI_ISL_2204424|2021-04-29	2021-04-29
hCoV-19/USA/WV-WVU-WV119554/2021|EPI_ISL_2204425|2021-04-29	2021-04-29
hCoV-19/USA/WV-WVU-WV119568/2021|EPI_ISL_2204444|2021-04-30	2021-04-30
hCoV-19/USA/WV-WVU-WV119592/2021|EPI_ISL_2204459|2021-05-01	2021-05-01
hCoV-19/Ireland/D-NVRL-90IRL41353/2021|EPI_ISL_2240985|2021-05-03	2021-05-03
hCoV-19/Ireland/D-NVRL-90IRL41414/2021|EPI_ISL_2241015|2021-05-03	2021-05-03
hCoV-19/Ireland/D-NVRL-90IRL42013/2021|EPI_ISL_2241025|2021-05-03	2021-05-03
hCoV-19/USA/MD-CDC-ASC210017455/2021|EPI_ISL_2244496|2021-03-23	2021-03-23
hCoV-19/Germany/NW-RKI-I-149358/2021|EPI_ISL_2261046|2021-05-10	2021-05-10
hCoV-19/Germany/BE-RKI-I-153285/2021|EPI_ISL_2264544|2021-05-13	2021-05-13
hCoV-19/Germany/BW-RKI-I-153292/2021|EPI_ISL_2264550|2021-05-12	2021-05-12
hCoV-19/Nigeria/FC-CV562/2020|EPI_ISL_872626|2020-12-29	2020-12-29
hCoV-19/Denmark/DCGC-37140/2021|EPI_ISL_928281|2021-01-11	2021-01-11
hCoV-19/Nigeria/CV639/2020|EPI_ISL_941287|2020-12-29	2020-12-29
hCoV-19/Nigeria/CV641/2020|EPI_ISL_941289|2020-12-29	2020-12-29
hCoV-19/Ghana/WACCBIP-GS57/2021|EPI_ISL_944729|2021-01-06	2021-01-06
hCoV-19/Australia/QLD1542/2021|EPI_ISL_944748|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-41460/2021|EPI_ISL_973137|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-41839/2021|EPI_ISL_973557|2021-01-25	2021-01-25
hCoV-19/Denmark/DCGC-43756/2021|EPI_ISL_1024134|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-44162/2021|EPI_ISL_1024540|2021-02-01	2021-02-01
hCoV-19/USA/NY-PRL-2021_02_25_00G05/2021|EPI_ISL_1098548|2021-02-22	2021-02-22
hCoV-19/Norway/3051/2021|EPI_ISL_1118444|2021-01-27	2021-01-27
hCoV-19/Slovenia/73900/2021|EPI_ISL_1118865|2021-02-10	2021-02-10
hCoV-19/Ireland/D-NVRL-21IRL29490/2021|EPI_ISL_1118872|2021-02-14	2021-02-14
hCoV-19/Denmark/DCGC-48109/2021|EPI_ISL_1123633|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-48800/2021|EPI_ISL_1125146|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-48817/2021|EPI_ISL_1125163|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49412/2021|EPI_ISL_1125802|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49440/2021|EPI_ISL_1125830|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49613/2021|EPI_ISL_1126004|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49671/2021|EPI_ISL_1126062|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49705/2021|EPI_ISL_1126096|2021-02-15	2021-02-15
hCoV-19/Germany/HE-RKI-I-016563/2021|EPI_ISL_1146725|2021-02-08	2021-02-08
hCoV-19/Nigeria/CV777/2021|EPI_ISL_1173212|2021-01-14	2021-01-14
hCoV-19/Nigeria/CV779/2021|EPI_ISL_1173213|2021-01-07	2021-01-07
hCoV-19/Nigeria/CV781/2021|EPI_ISL_1173215|2021-01-15	2021-01-15
hCoV-19/Nigeria/CV789/2021|EPI_ISL_1173219|2021-01-08	2021-01-08
hCoV-19/Nigeria/CV792/2021|EPI_ISL_1173222|2021-01-19	2021-01-19
hCoV-19/Nigeria/CV793/2021|EPI_ISL_1173223|2021-01-19	2021-01-19
hCoV-19/Nigeria/CV794/2021|EPI_ISL_1173224|2021-01-19	2021-01-19
hCoV-19/Nigeria/CV796/2021|EPI_ISL_1173226|2021-01-20	2021-01-20
hCoV-19/Nigeria/CV840/2021|EPI_ISL_1173237|2021-01-27	2021-01-27
hCoV-19/Nigeria/CV842/2021|EPI_ISL_1173239|2021-01-21	2021-01-21
hCoV-19/Thailand/Bangkok_11695/2021|EPI_ISL_1173247|2021-03-01	2021-03-01
hCoV-19/Spain/CT-HUGTiPM004AS3G2/2021|EPI_ISL_1208836|2021-02-16	2021-02-16
hCoV-19/Italy/SIC-AOUP-UNIPA_60566/2021|EPI_ISL_1241860|2021-03-04	2021-03-04
hCoV-19/Norway/2497/2021|EPI_ISL_1251931|2021-01-29	2021-01-29
hCoV-19/Norway/2675/2021|EPI_ISL_1251950|2021-02-01	2021-02-01
hCoV-19/Norway/2740/2021|EPI_ISL_1251967|2021-02-01	2021-02-01
hCoV-19/Norway/2755/2021|EPI_ISL_1251972|2021-01-28	2021-01-28
hCoV-19/England/QEUH-1399BF6/2021|EPI_ISL_1255595|2021-03-06	2021-03-06
hCoV-19/Turkey/HSGM-6531/2021|EPI_ISL_1278200|2021-02-26	2021-02-26
hCoV-19/Turkey/HSGM-6535/2021|EPI_ISL_1278201|2021-02-26	2021-02-26
hCoV-19/Ireland/LH-NVRL-21IRL45857/2021|EPI_ISL_1301960|2021-03-07	2021-03-07
hCoV-19/Norway/2909/2021|EPI_ISL_1317899|2021-02-02	2021-02-02
hCoV-19/Germany/NW-RKI-I-044151/2021|EPI_ISL_1351339|2021-03-03	2021-03-03
hCoV-19/Ireland/CE-NVRL-ec86IRL35385/2021|EPI_ISL_1357909|2021-02-24	2021-02-24
hCoV-19/Turkey/HSGM-9236/2021|EPI_ISL_1358354|2021-03-08	2021-03-08
hCoV-19/Slovenia/21-4900/2021|EPI_ISL_1402112|2021-03-02	2021-03-02
hCoV-19/USA/NY-NYULH928/2021|EPI_ISL_1423434|2021-03-17	2021-03-17
hCoV-19/Germany/NW-RKI-I-051370/2021|EPI_ISL_1434170|2021-03-18	2021-03-18
hCoV-19/Netherlands/GE-RIVM-20421/2021|EPI_ISL_1457613|2021-02-09	2021-02-09
hCoV-19/USA/NY-PRL-2021_04_01_00F24/2021|EPI_ISL_1471954|2021-03-29	2021-03-29
hCoV-19/Italy/TAA-IGA-1900536948/2021|EPI_ISL_1489771|2021-03-16	2021-03-16
hCoV-19/Italy/TAA-IGA-1900536238/2021|EPI_ISL_1489775|2021-03-15	2021-03-15
hCoV-19/Italy/TAA-IGA-1900536697/2021|EPI_ISL_1489777|2021-03-15	2021-03-15
hCoV-19/USA/ME-HETL-J2377/2021|EPI_ISL_1523701|2021-03-19	2021-03-19
hCoV-19/USA/WV-WVU-WV090943/2021|EPI_ISL_1529060|2021-03-29	2021-03-29
hCoV-19/USA/WV-WVU-WV090954/2021|EPI_ISL_1529069|2021-03-28	2021-03-28
hCoV-19/USA/WV-WVU-WV090955/2021|EPI_ISL_1529070|2021-03-28	2021-03-28
hCoV-19/USA/WV-WVU-WV090958/2021|EPI_ISL_1529072|2021-03-28	2021-03-28
hCoV-19/Norway/6713/2021|EPI_ISL_1547594|2021-03-15	2021-03-15
hCoV-19/Norway/6719/2021|EPI_ISL_1547596|2021-03-15	2021-03-15
hCoV-19/Italy/LOM-HSacco81/2021|EPI_ISL_1578458|2021-03-04	2021-03-04
hCoV-19/Italy/LOM-HSacco82/2021|EPI_ISL_1578459|2021-03-04	2021-03-04
hCoV-19/Italy/LOM-HSacco83/2021|EPI_ISL_1578460|2021-03-06	2021-03-06
hCoV-19/Italy/LOM-HSacco84/2021|EPI_ISL_1578461|2021-03-20	2021-03-20
hCoV-19/Italy/LOM-HSacco85/2021|EPI_ISL_1578462|2021-03-15	2021-03-15
hCoV-19/Italy/LOM-HSacco95/2021|EPI_ISL_1578463|2021-03-09	2021-03-09
hCoV-19/Norway/5754/2021|EPI_ISL_1579179|2021-03-06	2021-03-06
hCoV-19/Norway/5749/2021|EPI_ISL_1579180|2021-03-06	2021-03-06
hCoV-19/Norway/4270/2021|EPI_ISL_1579181|2021-02-18	2021-02-18
hCoV-19/Norway/6650/2021|EPI_ISL_1579182|2021-03-15	2021-03-15
hCoV-19/Norway/7326/2021|EPI_ISL_1579184|2021-03-19	2021-03-19
hCoV-19/Norway/7623/2021|EPI_ISL_1579185|2021-03-21	2021-03-21
hCoV-19/Brazil/BA-LACEN-125/2021|EPI_ISL_1583653|2021-02-15	2021-02-15
hCoV-19/Togo/C6634/2021|EPI_ISL_1586902|2021-02-08	2021-02-08
