#node	date	numeric date
hCoV-19/Denmark/DCGC-56185/2021|EPI_ISL_1864685|2021-03-29	2021-03-29	2021.239726
hCoV-19/Togo/TGS16/2021|EPI_ISL_1509099|2021-02-13	2021-02-13	2021.119178
hCoV-19/Ghana/NMIMR-NTRA-21-8945/2021|EPI_ISL_2001069|2021-03-16	2021-03-16	2021.204110
hCoV-19/Ghana/NMIMR-TRA-21-6410/2021|EPI_ISL_2001078|2021-03-15	2021-03-15	2021.201370
NODE_0000083	2021-03-12	2021.193804
hCoV-19/Ghana/NMIMR-TRA-21-13568/2021|EPI_ISL_2001077|2021-03-15	2021-03-15	2021.201370
hCoV-19/USA/NY-PRL-2021_0414_00G20/2021|EPI_ISL_1633953|2021-04-12	2021-04-12	2021.278082
NODE_0000090	2021-02-16	2021.127971
hCoV-19/Germany/NW-RKI-I-078565/2021|EPI_ISL_1643809|2021-04-08	2021-04-08	2021.267123
hCoV-19/France/ARA-HCL021071317701/2021|EPI_ISL_1935393|2021-04-13	2021-04-13	2021.280822
hCoV-19/France/ARA-HCL021061399101/2021|EPI_ISL_1623609|2021-03-30	2021-03-30	2021.242466
NODE_0000092	2021-03-02	2021.164682
hCoV-19/France/IDF-HMN-21032260307/2021|EPI_ISL_1754998|2021-03-23	2021-03-23	2021.223288
NODE_0000086	2021-03-05	2021.172718
hCoV-19/France/IDF-HMN-21042080348/2021|EPI_ISL_1755791|2021-04-06	2021-04-06	2021.261644
NODE_0000094	2021-04-03	2021.253410
hCoV-19/France/IDF-HMN-21042160531/2021|EPI_ISL_1756631|2021-04-13	2021-04-13	2021.280822
hCoV-19/France/IDF-HMN-21042160506/2021|EPI_ISL_1756637|2021-04-13	2021-04-13	2021.280822
NODE_0000089	2021-02-20	2021.138577
hCoV-19/France/COR-HCL021080734001/2021|EPI_ISL_2142669|2021-04-23	2021-04-23	2021.308219
NODE_0000091	2021-02-21	2021.142191
NODE_0000100	2021-03-08	2021.182192
hCoV-19/Singapore/257/2021|EPI_ISL_1252447|2021-03-08	2021-03-08	2021.182192
NODE_0000101	2021-03-24	2021.226027
hCoV-19/France/NAQ-HCL021070164601/2021|EPI_ISL_1788430|2021-03-24	2021-03-24	2021.226027
hCoV-19/France/NAQ-HCL021070199201/2021|EPI_ISL_1788434|2021-03-24	2021-03-24	2021.226027
NODE_0000095	2021-02-28	2021.159734
NODE_0000098	2021-04-10	2021.273462
hCoV-19/Japan/IC-1021/2021|EPI_ISL_1927303|2021-04-12	2021-04-12	2021.278082
hCoV-19/Portugal/PT7440/2021|EPI_ISL_2249022|2021-05-11	2021-05-11	2021.357534
NODE_0000096	2021-03-15	2021.200135
hCoV-19/France/IDF-CERBAHC-20210408-S8/2021|EPI_ISL_2094436|2021-03-30	2021-03-30	2021.242466
NODE_0000097	2021-04-26	2021.316438
hCoV-19/France/HDF-P321-21172M0894/2021|EPI_ISL_2143400|2021-04-26	2021-04-26	2021.316438
hCoV-19/France/HDF-P321-21172M0894/2021|EPI_ISL_2143519|2021-04-26	2021-04-26	2021.316438
NODE_0000019	2020-10-22	2020.806014
hCoV-19/Nigeria/CV625/2021|EPI_ISL_906284|2021-01-11	2021-01-11	2021.028767
hCoV-19/Nigeria/CV739/2021|EPI_ISL_1093473|2021-01-05	2021-01-05	2021.012329
hCoV-19/Nigeria/CV1049/2021|EPI_ISL_1715406|2021-01-13	2021-01-13	2021.034247
hCoV-19/Nigeria/CV1136/2021|EPI_ISL_1970551|2021-02-19	2021-02-19	2021.135616
hCoV-19/Nigeria/CV796/2021|EPI_ISL_1173226|2021-01-20	2021-01-20	2021.053425
NODE_0000768	2020-11-04	2020.843906
hCoV-19/Nigeria/CV850/2021|EPI_ISL_1235647|2021-01-25	2021-01-25	2021.067123
hCoV-19/Latvia/2403/2021|EPI_ISL_2141965|2021-04-26	2021-04-26	2021.316438
NODE_0000063	2020-12-04	2020.924910
hCoV-19/Nigeria/CV639/2020|EPI_ISL_941287|2020-12-29	2020-12-29	2020.993169
hCoV-19/Denmark/DCGC-73184/2021|EPI_ISL_1881755|2021-01-18	2021-01-18	2021.047945
NODE_0000065	2021-02-14	2021.122579
hCoV-19/Belgium/rega-4087/2021|EPI_ISL_1380528|2021-02-25	2021-02-25	2021.152055
hCoV-19/France/IDF-HMN-21032080034/2021|EPI_ISL_1695986|2021-02-23	2021-02-23	2021.146575
NODE_0000775	2020-12-22	2020.974645
hCoV-19/Nigeria/CV1269/2021|EPI_ISL_2240750|2021-02-22	2021-02-22	2021.143836
hCoV-19/Nigeria/CV836/2021|EPI_ISL_1173233|2021-01-26	2021-01-26	2021.069863
NODE_0000777	2021-01-28	2021.075803
hCoV-19/Germany/HE-RKI-I-016563/2021|EPI_ISL_1146725|2021-02-08	2021-02-08	2021.105479
hCoV-19/Germany/HE-ChVir-LB-210316-5717/2021|EPI_ISL_1988227|2021-03-05	2021-03-05	2021.173973
NODE_0000927	2020-11-11	2020.863242
hCoV-19/Nigeria/CV616/2021|EPI_ISL_906277|2021-01-07	2021-01-07	2021.017808
NODE_0000928	2020-12-06	2020.931543
hCoV-19/Togo/C6758/2021|EPI_ISL_1509098|2021-02-11	2021-02-11	2021.113699
NODE_0000929	2021-02-09	2021.108219
hCoV-19/Togo/C6844/2021|EPI_ISL_1524650|2021-02-12	2021-02-12	2021.116438
hCoV-19/Togo/C6698/2021|EPI_ISL_1509096|2021-02-09	2021-02-09	2021.108219
NODE_0000381	2020-11-09	2020.857298
hCoV-19/France/PDL-IPP11511/2021|EPI_ISL_2188356|2021-04-28	2021-04-28	2021.321918
NODE_0000382	2021-03-18	2021.210009
hCoV-19/USA/WA-PHL-000191/2021|EPI_ISL_1527337|2021-03-22	2021-03-22	2021.220548
NODE_0000383	2021-04-15	2021.286865
hCoV-19/USA/WA-UW-21042059845/2021|EPI_ISL_2002345|2021-04-20	2021-04-20	2021.300000
NODE_0000127	2021-04-20	2021.300000
hCoV-19/USA/WA-UW-21042085209/2021|EPI_ISL_2002353|2021-04-20	2021-04-20	2021.300000
hCoV-19/USA/WA-UW-21042020852/2021|EPI_ISL_2002885|2021-04-20	2021-04-20	2021.300000
NODE_0000562	2020-11-14	2020.869905
hCoV-19/Nigeria/CV1336/2021|EPI_ISL_2240777|2021-02-01	2021-02-01	2021.086301
hCoV-19/Nigeria/CV844/2021|EPI_ISL_1235642|2021-01-08	2021-01-08	2021.020548
NODE_0000564	2020-11-21	2020.890606
hCoV-19/Nigeria/CV853/2021|EPI_ISL_1235649|2021-01-26	2021-01-26	2021.069863
NODE_0000565	2020-11-29	2020.911672
hCoV-19/Jordan/PHBC3/2021|EPI_ISL_935041|2021-01-07	2021-01-07	2021.017808
NODE_0000566	2021-01-27	2021.072129
hCoV-19/Ireland/LH-NVRL-e85IRL43191/2021|EPI_ISL_1132621|2021-02-08	2021-02-08	2021.105479
NODE_0000143	2021-02-08	2021.105479
hCoV-19/Ireland/LH-NVRL-ec85IRL42658/2021|EPI_ISL_1196612|2021-02-08	2021-02-08	2021.105479
hCoV-19/Ireland/LH-NVRL-e85IRL42977/2021|EPI_ISL_1132620|2021-02-08	2021-02-08	2021.105479
NODE_0000354	2020-11-23	2020.893956
hCoV-19/Nigeria/CV854/2021|EPI_ISL_1235650|2021-01-08	2021-01-08	2021.020548
hCoV-19/Nigeria/CV852/2021|EPI_ISL_1235648|2021-01-26	2021-01-26	2021.069863
NODE_0000356	2020-12-12	2020.947641
hCoV-19/Nigeria/CV793/2021|EPI_ISL_1173223|2021-01-19	2021-01-19	2021.050685
hCoV-19/Nigeria/CV858/2021|EPI_ISL_1235654|2021-01-27	2021-01-27	2021.072603
NODE_0000358	2020-12-30	2020.995099
NODE_0000359	2021-01-31	2021.084150
hCoV-19/Spain/CT-HUGTiPR006BX5A5/2021|EPI_ISL_1208489|2021-02-16	2021-02-16	2021.127397
hCoV-19/Spain/CT-HUGTiPM004AS3G2/2021|EPI_ISL_1208836|2021-02-16	2021-02-16	2021.127397
NODE_0000113	2021-01-02	2021.004872
hCoV-19/USA/WA-UW-60949/2021|EPI_ISL_1110053|2021-02-03	2021-02-03	2021.091781
hCoV-19/USA/WA-UW-60363/2021|EPI_ISL_1110052|2021-02-02	2021-02-02	2021.089041
NODE_0000030	2020-12-16	2020.956777
hCoV-19/Japan/IC-0882/2021|EPI_ISL_1927299|2021-03-20	2021-03-20	2021.215068
hCoV-19/Turkey/HSGM-9191/2021|EPI_ISL_1358357|2021-03-08	2021-03-08	2021.182192
NODE_0000033	2021-02-07	2021.101622
hCoV-19/India/AP-CCMB-CIA0843/2021|EPI_ISL_2231620|2021-03-05	2021-03-05	2021.173973
NODE_0000034	2021-03-15	2021.201370
hCoV-19/Italy/LOM-HSacco85/2021|EPI_ISL_1578462|2021-03-15	2021-03-15	2021.201370
hCoV-19/Italy/LOM-HSacco205/2021|EPI_ISL_1909222|2021-03-15	2021-03-15	2021.201370
NODE_0000035	2021-01-01	2021.000553
hCoV-19/Italy/EMR-045156-008-01/2021|EPI_ISL_1036755|2021-02-03	2021-02-03	2021.091781
NODE_0000037	2021-01-13	2021.034552
hCoV-19/France/IDF-CERBAHC-20210205-S7/2021|EPI_ISL_1009673|2021-01-27	2021-01-27	2021.072603
hCoV-19/Togo/TGS11/2021|EPI_ISL_1509095|2021-02-14	2021-02-14	2021.121918
NODE_0000038	2021-02-17	2021.130137
hCoV-19/Germany/SN-RKI-I-026172/2021|EPI_ISL_1156357|2021-02-17	2021-02-17	2021.130137
NODE_0000167	2021-02-20	2021.138325
NODE_0000042	2021-03-07	2021.180363
hCoV-19/Germany/SN-RKI-I-049611/2021|EPI_ISL_1357037|2021-03-10	2021-03-10	2021.187671
hCoV-19/Germany/SN-RKI-I-057270/2021|EPI_ISL_1440974|2021-03-15	2021-03-15	2021.201370
NODE_0000170	2021-03-07	2021.179771
NODE_0000171	2021-03-08	2021.182192
hCoV-19/Germany/SN-RKI-I-038689/2021|EPI_ISL_1285050|2021-03-08	2021-03-08	2021.182192
hCoV-19/Denmark/DCGC-83850/2021|EPI_ISL_1892978|2021-04-19	2021-04-19	2021.297260
NODE_0000043	2021-04-19	2021.297260
hCoV-19/Denmark/DCGC-87292/2021|EPI_ISL_1896651|2021-04-19	2021-04-19	2021.297260
hCoV-19/Denmark/DCGC-80337/2021|EPI_ISL_1888978|2021-04-19	2021-04-19	2021.297260
hCoV-19/Denmark/DCGC-85510/2021|EPI_ISL_1894828|2021-04-19	2021-04-19	2021.297260
NODE_0000012	2020-11-09	2020.856320
NODE_0000126	2020-12-22	2020.973939
hCoV-19/Turkey/HSGM-B285/2021|EPI_ISL_1760119|2021-03-25	2021-03-25	2021.228767
NODE_0000128	2020-12-22	2020.973939
hCoV-19/Turkey/HSGM-9239/2021|EPI_ISL_1358358|2021-03-08	2021-03-08	2021.182192
hCoV-19/USA/WV-WVU-WV118439/2021|EPI_ISL_1742737|2021-04-09	2021-04-09	2021.269863
NODE_0000013	2020-12-04	2020.923608
hCoV-19/Turkey/HSGM-B634/2021|EPI_ISL_1760120|2021-03-26	2021-03-26	2021.231507
NODE_0000014	2021-01-07	2021.018151
hCoV-19/Turkey/HSGM-6543/2021|EPI_ISL_1272102|2021-02-26	2021-02-26	2021.154795
NODE_0000015	2021-02-13	2021.118675
hCoV-19/Turkey/HSGM-11400/2021|EPI_ISL_2107306|2021-03-12	2021-03-12	2021.193151
hCoV-19/Turkey/HSGM-11402/2021|EPI_ISL_2107308|2021-03-12	2021-03-12	2021.193151
NODE_0000008	2020-11-19	2020.883347
NODE_0000009	2020-12-13	2020.949527
hCoV-19/Germany/BY-RKI-I-044531/2021|EPI_ISL_1351877|2021-03-11	2021-03-11	2021.190411
NODE_0000010	2021-01-17	2021.046117
hCoV-19/Turkey/HSGM-B2201/2021|EPI_ISL_2202386|2021-03-30	2021-03-30	2021.242466
NODE_0000011	2021-02-15	2021.123980
hCoV-19/India/TG-CCMB-BJ143/2021|EPI_ISL_1838719|2021-03-08	--	--
hCoV-19/India/TG-CCMB-BJ485/2021|EPI_ISL_1838748|2021-03-15	2021-03-15	2021.201370
NODE_0000007	2020-12-02	2020.919110
hCoV-19/Turkey/HSGM-B3017/2021|EPI_ISL_1822672|2021-03-31	2021-03-31	2021.245205
NODE_0000006	2020-12-14	2020.951325
hCoV-19/Turkey/HSGM-11498/2021|EPI_ISL_2157979|2021-03-11	2021-03-11	2021.190411
NODE_0000005	2020-12-21	2020.971341
hCoV-19/Turkey/HSGM-9236/2021|EPI_ISL_1358354|2021-03-08	2021-03-08	2021.182192
NODE_0000001	2021-01-29	2021.078412
hCoV-19/Turkey/HSGM-11297/2021|EPI_ISL_1911784|2021-03-10	2021-03-10	2021.187671
NODE_0000002	--	--
hCoV-19/Turkey/HSGM-B4126/2021|EPI_ISL_1760146|2021-03-31	--	--
NODE_0000003	--	--
hCoV-19/Turkey/HSGM-B1702/2021|EPI_ISL_1678513|2021-03-29	--	--
NODE_0000004	--	--
hCoV-19/Turkey/HSGM-8429/2021|EPI_ISL_1403726|2021-03-03	--	--
hCoV-19/Turkey/HSGM-11398/2021|EPI_ISL_2107334|2021-03-12	--	--
NODE_0000274	2020-11-14	2020.869476
NODE_0000333	2020-12-03	2020.922079
hCoV-19/Germany/BE-RKI-I-052051/2021|EPI_ISL_1435330|2021-03-15	2021-03-15	2021.201370
hCoV-19/Belgium/Jessa_55-2108-000244/2021|EPI_ISL_1098886|2021-02-23	2021-02-23	2021.146575
NODE_0000307	2020-12-17	2020.959623
hCoV-19/USA/NC-CDC-LC0041624/2021|EPI_ISL_1701870|2021-03-31	2021-03-31	2021.245205
NODE_0000308	2021-01-03	2021.007063
hCoV-19/USA/NC-UNC-0620/2021|EPI_ISL_1373454|2021-03-18	2021-03-18	2021.209589
hCoV-19/USA/SC-CDC-LC0044330/2021|EPI_ISL_1701875|2021-04-10	2021-04-10	2021.272603
NODE_0000327	2021-03-04	2021.171540
NODE_0000328	2021-03-12	2021.194392
hCoV-19/Belgium/AZDelta-15581-2112R/2021|EPI_ISL_1469155|2021-03-23	2021-03-23	2021.223288
NODE_0000263	2021-03-23	2021.223288
hCoV-19/Belgium/AZDelta-11804-2112R/2021|EPI_ISL_1469145|2021-03-23	2021-03-23	2021.223288
hCoV-19/Belgium/AZDelta-01457-2112R/2021|EPI_ISL_1469122|2021-03-23	2021-03-23	2021.223288
NODE_0000264	2021-04-01	2021.248380
hCoV-19/Belgium/AZDelta/19365-2113R/2021|EPI_ISL_1534731|2021-04-02	2021-04-02	2021.250685
NODE_0000265	2021-04-02	2021.250685
hCoV-19/Belgium/AZDelta/13862-2113R/2021|EPI_ISL_1534725|2021-04-02	2021-04-02	2021.250685
hCoV-19/Belgium/AZDelta/11566-2115L/2021|EPI_ISL_1904330|2021-04-14	2021-04-14	2021.283562
NODE_0000299	2020-12-03	2020.921280
NODE_0000300	2021-01-07	2021.018859
hCoV-19/Switzerland/BL-UHB-42761106/2021|EPI_ISL_1748282|2021-03-20	2021-03-20	2021.215068
hCoV-19/Switzerland/ZH-ETHZ-471244/2021|EPI_ISL_1059438|2021-01-22	2021-01-22	2021.058904
NODE_0000157	2021-01-04	2021.009212
hCoV-19/USA/MD-CDC-LC0050711/2021|EPI_ISL_1942238|2021-04-21	2021-04-21	2021.302740
NODE_0000160	2021-01-04	2021.009212
hCoV-19/USA/NY-PRL-2021_03_01_01F18/2021|EPI_ISL_1172643|2021-02-26	2021-02-26	2021.154795
NODE_0000303	2021-02-01	2021.087173
hCoV-19/Italy/LAZ-INMI-251/2021|EPI_ISL_1079356|2021-02-09	2021-02-09	2021.108219
NODE_0000304	2021-02-09	2021.108219
hCoV-19/Italy/LAZ-INMI-252/2021|EPI_ISL_1079358|2021-02-09	2021-02-09	2021.108219
hCoV-19/Italy/LAZ-INMI-255/2021|EPI_ISL_1079992|2021-02-09	2021-02-09	2021.108219
NODE_0000334	2021-02-03	2021.091173
NODE_0000335	2021-03-06	2021.176712
hCoV-19/Italy/SIC-CQRC-21016090/2021|EPI_ISL_1678007|2021-03-06	2021-03-06	2021.176712
hCoV-19/Italy/SIC-CQRC-21016091/2021|EPI_ISL_1678008|2021-03-06	2021-03-06	2021.176712
NODE_0000336	2021-02-21	2021.140007
hCoV-19/Italy/SIC-CQRC-21016131/2021|EPI_ISL_1678017|2021-03-10	2021-03-10	2021.187671
NODE_0000338	2021-02-26	2021.155891
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-10843/2021|EPI_ISL_2029441|2021-04-14	2021-04-14	2021.283562
NODE_0000339	2021-03-08	2021.183049
hCoV-19/Italy/ABR-IZSGC-161232/2021|EPI_ISL_1403502|2021-03-16	2021-03-16	2021.204110
hCoV-19/Italy/ABR-IZSGC-161253/2021|EPI_ISL_1336084|2021-03-16	2021-03-16	2021.204110
NODE_0000278	2021-03-15	2021.201795
hCoV-19/Italy/MOL-ISE21040237233/2021|EPI_ISL_1761554|2021-04-25	2021-04-25	2021.313699
NODE_0000279	2021-03-16	2021.204110
hCoV-19/Italy/ABR-IZSGC-161257/2021|EPI_ISL_1336083|2021-03-16	2021-03-16	2021.204110
hCoV-19/Italy/PA-IZSBM966-66/2021|EPI_ISL_1386131|2021-03-18	2021-03-18	2021.209589
NODE_0000172	2021-02-28	2021.160593
